velocity  yaw_rate
0.439 -0.511
0.370 0.932
0.216 0.637
0.202 -0.079
0.360 -0.668
0.303 -0.179
0.393 0.581
0.430 0.347
0.335 1.393
0.350 0.941
0.394 0.587
0.315 -0.748
0.288 -0.586
0.494 0.020
0.328 0.854
0.560 -0.359
0.318 0.398
0.331 1.096
0.486 1.866
0.393 -0.046
0.357 -0.042
0.336 -1.832
0.269 1.015
0.404 -0.291
0.487 0.237
0.447 1.468
0.215 1.270
0.379 1.445
0.446 -1.095
0.373 -0.053
0.315 3.042
0.420 -1.062
0.314 0.071
0.430 1.986
0.363 1.103
0.248 0.499
0.138 0.237
0.208 1.030
0.334 0.885
0.400 0.077
0.475 0.076
0.367 -1.546
0.388 -1.089
0.233 -2.169
0.312 -0.097
0.274 -0.029
0.474 1.787
0.620 1.470
0.459 -0.417
0.286 0.578
0.310 2.385
0.353 -0.102
0.283 0.231
0.293 -0.725
0.349 0.331
0.416 -0.084
0.494 1.260
0.437 -1.497
0.486 0.950
0.174 -0.392
0.230 0.052
0.360 -0.751
0.455 -0.550
0.451 -0.247
0.328 -1.664
0.445 -0.518
0.514 -0.851
0.333 -1.636
0.265 -0.915
0.353 2.191
0.218 -0.062
0.320 -0.058
0.150 1.225
0.348 -0.513
0.357 2.418
0.524 -0.046
0.422 -0.383
0.348 1.204
0.189 -0.820
0.310 0.895
0.410 0.951
0.253 0.469
0.197 0.427
0.411 -0.998
0.301 0.696
0.113 0.661
0.408 -0.417
0.410 -0.192
0.401 -0.044
0.233 -0.380
0.468 0.239
0.356 0.268
0.373 -0.553
0.605 1.582
0.296 0.301
0.370 -0.819
0.694 -0.542
0.383 0.568
0.436 -1.042
0.254 0.417
0.340 -1.805
0.426 -0.993
0.369 0.315
0.311 -1.642
0.578 -1.375
0.369 -2.914
0.458 -1.354
0.267 -0.021
0.396 -1.247
0.564 -0.597
0.373 -0.779
0.523 0.086
0.340 -0.282
0.341 -0.355
0.517 0.056
0.445 0.909
0.226 -1.152
0.293 0.962
0.252 3.197
0.368 0.847
0.211 -1.630
0.216 0.542
0.403 -0.732
0.517 -0.129
0.217 -2.632
0.357 -1.653
0.313 -0.617
0.168 1.944
0.438 0.914
0.370 0.275
0.301 -0.614
0.233 0.340
0.470 0.068
0.403 -0.299
0.201 -0.743
0.206 -0.726
0.421 0.127
0.249 1.081
0.358 1.052
0.469 0.513
0.399 1.115
0.444 -0.619
0.559 -0.606
0.315 -0.673
0.346 -0.765
0.275 1.710
0.635 1.590
0.361 0.522
0.414 0.152
0.428 -0.776
0.202 -0.247
0.414 -0.209
0.319 -0.860
0.328 0.016
0.344 1.380
0.315 3.278
0.259 0.263
0.422 -1.584
0.459 -0.298
0.362 -1.814
0.491 -1.169
0.353 0.663
0.489 -0.232
0.361 -0.090
0.367 -0.483
0.352 -0.487
0.422 -1.136
0.406 -1.663
0.590 -2.836
0.388 -0.776
0.147 1.395
0.430 -0.464
0.478 0.408
0.287 -0.408
0.288 -0.380
0.428 0.742
0.495 0.667
0.373 0.110
0.339 -1.134
0.325 -1.109
0.326 -0.002
0.318 1.935
0.354 -0.425
0.476 1.680
0.250 0.478
0.445 -0.693
0.378 0.049
0.424 -0.308
0.367 0.849
0.289 -1.644
0.499 -0.999
0.407 -2.138
0.335 0.950
0.439 0.290
0.443 -0.558
0.415 0.043
0.281 -1.221
0.270 1.891
0.293 0.738
0.337 0.530
0.486 0.495
0.297 -0.245
0.292 0.529
0.351 -0.037
0.411 -1.074
0.364 -0.804
0.304 -1.083
0.527 -0.924
0.437 -2.215
0.419 0.353
0.419 -0.075
0.172 1.044
0.382 -1.063
0.373 -1.154
0.432 0.566
0.254 0.628
0.450 -0.734
0.351 0.233
0.429 0.072
0.557 0.336
0.338 -0.488
0.242 0.169
0.621 1.209
0.219 1.289
0.317 0.510
0.340 -0.568
0.325 0.946
0.445 0.381
0.202 -1.356
0.296 -1.001
0.355 1.245
0.393 0.141
0.446 -0.659
0.436 0.335
0.378 -0.225
0.355 -1.707
0.429 0.069
0.415 1.268
0.124 -0.009
0.274 -0.886
