x            y      theta
-942.9164 -115.9596 1.3935
-943.2920 -115.5407 1.4662
-942.8354 -115.9241 1.3262
-943.2189 -115.7482 1.5861
-943.0713 -115.6786 1.4970
-943.2006 -115.6041 1.6786
-943.1259 -115.7689 1.4983
-943.3431 -115.5780 1.4132
-943.0985 -115.6723 1.4294
-943.0616 -115.9463 1.5073
-943.0427 -115.6352 1.4244
-943.3409 -115.5984 1.3314
-943.0459 -115.6303 1.6187
-942.9994 -115.9323 1.4560
-942.9382 -115.7712 1.4515
-943.2004 -115.6051 1.5277
-943.1044 -115.7296 1.3199
-942.9177 -115.7026 1.4697
-943.0658 -115.6610 1.5094
-943.0911 -115.6297 1.3316
-943.1331 -115.5362 1.4202
-943.2002 -115.6664 1.3782
-943.1486 -115.6320 1.4305
-943.1890 -115.5370 1.3604
-942.9987 -115.8759 1.4475
-943.1212 -115.8904 1.6255
-943.1431 -115.7798 1.5908
-943.0556 -115.6101 1.4264
-943.1607 -115.9032 1.3579
-943.1378 -115.7524 1.5215
-943.1077 -115.8253 1.3672
-943.0520 -115.8460 1.4759
-942.9443 -115.8222 1.2488
-943.1883 -115.6581 1.3375
-943.0967 -115.6746 1.5353
-943.2965 -115.6721 1.4240
-943.1119 -115.6421 1.4068
-943.1569 -115.8701 1.4969
-943.0515 -115.6597 1.2851
-942.8958 -115.8011 1.3782
-943.1818 -115.6404 1.7117
-943.1011 -115.5216 1.2737
-942.9760 -115.9222 1.5906
-943.1253 -115.7828 1.1985
-943.1725 -115.7359 1.3984
-943.0200 -115.7490 1.2980
-943.2005 -115.9433 1.4065
-943.1081 -115.6722 1.3059
-943.0246 -115.7617 1.3899
-943.1329 -115.8335 1.4484
-943.0678 -115.8665 1.5974
-942.9905 -115.7183 1.5133
-943.0568 -115.8093 1.4306
-943.0233 -115.7816 1.6570
-943.0394 -115.8692 1.4338
-943.0071 -115.9249 1.3856
-943.1424 -115.8411 1.4955
-943.1401 -115.8167 1.5780
-943.2298 -115.8246 1.4582
-943.1091 -115.6349 1.4759
-943.2068 -115.7271 1.5034
-942.9188 -115.7278 1.3556
-943.2606 -115.7211 1.3998
-943.1762 -115.6816 1.4806
-942.9692 -115.6908 1.3136
-942.9129 -115.7750 1.4961
-943.0188 -115.7245 1.2802
