ID     x_wor	  y_wor   theta_wor
A001 -1002.8359 -144.9214 0.1435
A002 -1001.5393 -140.5998 0.1395
A003 -1000.6526 -138.2168 0.1373
A004 -999.8817 -135.7987 0.1350
A005 -991.1711 -131.5392 0.1319
A006 -990.0335 -127.9970 0.1286
A007 -989.2535 -125.5945 0.1263
A008 -988.4838 -123.1803 0.1240
A009 -987.7116 -120.7649 0.1217
A010 -986.6484 -117.5718 0.1186
A011 -985.8884 -115.1633 0.1163
A012 -985.1085 -112.7478 0.1140
A013 -993.6033 -109.0341 0.1093
A014 -1003.5169 -113.4167 0.1125
A015 -1006.0528 -112.6778 0.1115
A016 -1007.8156 -110.7897 0.1095
A017 -1007.0346 -108.3708 0.1072
A018 -999.7087 -104.1297 0.1038
A019 -998.9321 -101.6939 0.1015
A020 -998.1385 -99.3022 0.0992
A021 -1005.8419 -104.5859 0.1036
A022 -1005.0638 -102.1255 0.1013
A023 -1004.2586 -99.7390 0.0990
A024 -1003.2727 -96.1792 0.0956
A025 -1002.4988 -93.7661 0.0933
A026 -1001.7199 -91.3542 0.0909
A027 -999.4563 -88.2165 0.0880
A028 -990.1762 -99.6357 0.1003
A029 -967.5595 -110.7633 0.1140
A030 -968.3363 -113.1757 0.1163
A031 -969.1157 -115.5845 0.1187
A032 -970.2827 -119.1948 0.1222
A033 -971.0640 -121.6128 0.1246
A034 -971.8454 -124.0019 0.1269
A035 -972.9473 -127.3752 0.1302
A036 -973.7263 -129.8346 0.1326
A037 -974.4958 -132.2555 0.1349
A038 -975.2732 -134.6668 0.1372
A039 -960.1624 -110.6611 0.1147
A040 -960.9345 -113.0632 0.1171
A041 -961.7005 -115.4719 0.1195
A042 -962.8476 -118.9641 0.1229
A043 -963.6272 -121.3935 0.1253
A044 -964.4096 -123.7990 0.1277
A045 -965.5523 -127.3282 0.1311
A046 -966.3338 -129.7382 0.1335
A047 -967.1120 -132.1578 0.1358
A048 -967.8897 -134.6724 0.1383
A049 -968.9618 -137.7411 0.1412
A050 -945.3937 -117.2115 0.1234
A051 -946.1682 -119.6385 0.1258
A052 -946.9379 -122.0400 0.1282
A053 -948.0332 -125.5382 0.1317
A054 -948.8562 -127.9501 0.1340
A055 -949.5304 -130.3107 0.1364
A056 -950.7786 -133.8701 0.1399
A057 -951.5675 -136.2787 0.1422
A058 -952.3333 -138.7108 0.1446
A059 -953.1071 -141.1269 0.1470
A060 -954.1866 -144.4483 0.1502
A061 -937.9940 -117.1101 0.1242
A062 -938.7543 -119.5204 0.1266
A063 -939.5332 -121.9485 0.1291
A064 -940.7079 -125.5138 0.1326
A065 -941.4932 -127.9264 0.1350
A066 -942.2676 -130.3681 0.1375
A067 -944.2736 -136.5435 0.1436
A068 -944.2834 -136.5624 0.1436
A069 -955.3858 -153.3660 0.1592
A070 -960.0104 -152.0128 0.1570
A071 -962.5526 -151.2773 0.1559
A072 -967.5202 -149.8230 0.1536
A073 -970.0578 -149.0889 0.1525
